iter	Passed	Remaining
599	4863	3242
600	4870	3233
601	4876	3224
602	4883	3215
603	4889	3205
604	4896	3196
605	4903	3188
606	4910	3179
607	4917	3170
608	4923	3161
609	4930	3152
610	4936	3143
611	4943	3134
612	4949	3125
613	4955	3115
614	4963	3107
615	4969	3097
616	4976	3089
617	4982	3079
618	4988	3070
619	4995	3061
620	5001	3052
621	5009	3044
622	5015	3035
623	5021	3026
624	5028	3017
625	5034	3007
626	5041	2999
627	5047	2989
628	5053	2980
629	5060	2972
630	5066	2963
631	5073	2954
632	5079	2945
633	5085	2935
634	5093	2927
635	5099	2918
636	5107	2910
637	5112	2901
638	5118	2891
639	5127	2884
640	5133	2874
641	5140	2866
642	5146	2857
643	5152	2848
644	5159	2839
645	5165	2830
646	5172	2821
647	5179	2813
648	5187	2805
649	5195	2797
650	5203	2789
651	5211	2781
652	5219	2773
653	5227	2765
654	5234	2757
655	5242	2749
656	5249	2740
657	5257	2732
658	5264	2724
659	5273	2716
660	5280	2708
661	5288	2700
662	5296	2692
663	5304	2684
664	5311	2675
665	5318	2667
666	5327	2659
667	5334	2651
668	5340	2642
669	5347	2633
670	5354	2625
671	5361	2616
672	5367	2608
673	5373	2599
674	5379	2590
675	5386	2581
676	5392	2572
677	5399	2564
678	5405	2555
679	5411	2546
680	5418	2538
681	5424	2529
682	5430	2520
683	5438	2512
684	5444	2503
685	5450	2494
686	5456	2486
687	5462	2477
688	5469	2468
689	5475	2459
690	5482	2451
691	5488	2442
692	5494	2434
693	5501	2425
694	5507	2417
695	5514	2408
696	5520	2400
697	5526	2391
698	5534	2383
699	5540	2374
700	5547	2366
701	5553	2357
702	5559	2348
703	5567	2340
704	5574	2332
705	5583	2325
706	5591	2317
707	5600	2309
708	5609	2302
709	5618	2295
710	5626	2287
711	5636	2279
712	5645	2272
713	5656	2265
714	5665	2258
715	5674	2250
716	5683	2243
717	5692	2235
718	5702	2228
719	5710	2220
720	5718	2212
721	5726	2204
722	5733	2196
723	5739	2188
724	5747	2179
725	5753	2171
726	5759	2162
727	5766	2154
728	5772	2145
729	5779	2137
730	5785	2129
731	5792	2120
732	5798	2112
733	5804	2103
734	5812	2095
735	5818	2087
736	5826	2079
737	5833	2071
738	5840	2062
739	5847	2054
740	5854	2046
741	5861	2037
742	5866	2029
743	5873	2020
744	5879	2012
745	5886	2004
746	5892	1995
747	5899	1987
748	5906	1979
749	5913	1971
750	5920	1962
751	5927	1954
752	5934	1946
753	5941	1938
754	5948	1930
755	5954	1921
756	5962	1914
757	5969	1905
758	5976	1897
759	5982	1889
760	5989	1881
761	5995	1872
762	6001	1864
763	6009	1856
764	6015	1847
765	6022	1839
766	6028	1831
767	6034	1822
768	6041	1814
769	6048	1806
770	6055	1798
771	6061	1790
772	6067	1781
773	6075	1773
774	6080	1765
775	6087	1757
776	6093	1748
777	6099	1740
778	6107	1732
779	6113	1724
780	6119	1716
781	6126	1707
782	6132	1699
783	6139	1691
784	6145	1683
785	6152	1675
786	6159	1667
787	6165	1658
788	6172	1650
789	6178	1642
790	6186	1634
791	6192	1626
792	6198	1617
793	6204	1609
794	6211	1601
795	6217	1593
796	6224	1585
797	6231	1577
798	6239	1569
799	6246	1561
800	6255	1554
801	6262	1546
802	6271	1538
803	6278	1530
804	6287	1523
805	6294	1515
806	6302	1507
807	6310	1499
808	6319	1491
809	6326	1483
810	6334	1476
811	6341	1468
812	6348	1460
813	6356	1452
814	6364	1444
815	6372	1436
816	6380	1429
817	6386	1420
818	6393	1412
819	6399	1404
820	6405	1396
821	6411	1388
822	6417	1380
823	6424	1372
824	6430	1363
825	6435	1355
826	6442	1347
827	6448	1339
828	6454	1331
829	6461	1323
830	6468	1315
831	6474	1307
832	6480	1299
833	6486	1291
834	6493	1283
835	6500	1275
836	6506	1267
837	6512	1259
838	6519	1251
839	6526	1243
840	6533	1235
841	6539	1227
842	6546	1219
843	6555	1211
844	6563	1203
845	6575	1196
846	6584	1189
847	6593	1181
848	6600	1174
